,v,vw,o,c,h,l,t,n
0,16.891181709999994,19438.1968,19442.7,19435.6,19443.5,19432.27,1665360000000,468
1,17.927239839999988,19429.4493,19435.47,19427.13,19436.14,19423.93,1665360060000,388
2,15.867674039999983,19433.5064,19427.68,19434.77,19438.12,19426.5,1665360120000,431
3,47.44855214000013,19420.0222,19434.28,19417.32,19435.6,19411.0,1665360180000,745
4,14.687841549999993,19424.538,19417.32,19423.5,19431.93,19416.51,1665360240000,420
5,10.89987667,19422.6101,19423.59,19423.74,19426.92,19417.0,1665360300000,403
6,15.496177559999989,19424.6182,19422.84,19429.18,19431.38,19419.2,1665360360000,484
7,12.683837269999993,19424.3667,19429.24,19419.83,19430.26,19417.73,1665360420000,372
8,3.892814390000002,19419.0769,19420.61,19419.54,19421.73,19416.2,1665360480000,259
9,4.752052159999998,19413.3378,19419.44,19416.04,19419.44,19410.23,1665360540000,309
10,20.174591600000017,19420.6161,19415.93,19424.99,19425.55,19413.57,1665360600000,468
11,6.4757370499999904,19421.6052,19424.99,19420.25,19426.1,19418.6,1665360660000,364
12,20.96179303,19428.7466,19420.14,19429.81,19436.83,19420.14,1665360720000,506
13,25.78746784000001,19416.9615,19428.62,19414.31,19430.5,19410.63,1665360780000,451
14,18.54486485000002,19423.0703,19414.92,19426.74,19429.65,19413.68,1665360840000,480
15,22.343665559999998,19434.1336,19421.5,19435.52,19444.01,19421.5,1665360900000,454
16,26.605370680000068,19436.3093,19433.93,19439.76,19444.0,19426.29,1665360960000,556
17,16.146694689999993,19434.6453,19437.14,19436.33,19439.42,19430.0,1665361020000,396
18,13.514226419999984,19439.7272,19436.34,19439.97,19442.41,19431.4,1665361080000,350
19,9.216704569999989,19439.8981,19439.97,19442.07,19443.36,19431.4,1665361140000,432
20,14.954230369999989,19446.4418,19440.44,19448.53,19454.56,19439.22,1665361200000,488
21,22.763830119999984,19448.6539,19450.03,19454.58,19455.75,19443.62,1665361260000,529
22,10.841463949999996,19452.6574,19454.58,19448.85,19459.06,19448.17,1665361320000,353
23,6.338718869999995,19449.351,19449.41,19448.2,19453.99407393,19446.22,1665361380000,354
24,15.92545728999998,19447.3012,19449.88,19437.97,19453.99407393,19435.49,1665361440000,544
25,60.99960981000008,19417.481,19436.63,19419.35,19441.592003,19402.42,1665361500000,917
26,38.38621750000004,19417.3622,19417.27,19420.72,19427.26,19406.06,1665361560000,593
27,12.857306259999989,19420.6134,19420.7,19418.96,19426.79,19413.97,1665361620000,325
28,12.355839400000024,19421.1441,19418.84,19418.94,19423.44,19417.0,1665361680000,304
29,18.249700770000008,19415.744,19419.7,19414.83,19421.68988648,19411.31,1665361740000,431
30,11.947043580000004,19413.3724,19414.6,19418.4,19420.67,19407.11,1665361800000,362
31,7.1778852999999945,19411.0281,19418.18,19409.85,19418.18,19406.39,1665361860000,313
32,17.367347499999973,19414.3765,19409.85,19416.75,19422.13,19407.26,1665361920000,383
33,18.755084770000003,19410.8694,19413.85,19410.45,19419.90920156,19404.86,1665361980000,414
34,9.948368089999992,19414.3386,19410.45,19415.69,19418.74,19409.2,1665362040000,366
35,8.22412222999999,19415.2957,19414.65,19417.11,19420.37,19410.28,1665362100000,555
36,14.045791650000021,19420.3838,19416.8,19422.17,19424.61,19416.8,1665362160000,681
37,8.401491329999994,19419.4183,19421.56,19417.46,19422.63,19415.37,1665362220000,495
38,29.672077419999965,19429.0683,19418.65,19430.03,19435.31,19417.46,1665362280000,682
39,18.29514409,19426.2639,19430.75,19429.16,19431.12,19420.4,1665362340000,495
40,5.258302100000001,19432.7077,19429.06,19434.55,19437.82,19420.4,1665362400000,570
41,22.13471803000002,19439.7613,19433.46,19449.94,19452.47,19428.0,1665362460000,772
42,39.29657828000004,19454.4517,19447.93,19456.1,19469.25,19438.97049103,1665362520000,1054
43,35.32442918000005,19463.148,19461.75,19470.23,19474.67,19455.02576003,1665362580000,747
44,7.314099770000005,19467.9746,19470.55,19468.6,19471.47,19456.0,1665362640000,538
45,11.019684180000002,19469.3049,19467.43,19476.31,19476.38,19462.0,1665362700000,681
46,173.28745030000002,19486.2475,19475.56,19476.99,19502.5,19467.95,1665362760000,907
47,32.45730751000002,19474.6546,19476.1,19473.69,19480.5,19467.63,1665362820000,653
48,39.56782407000007,19491.6914,19473.69,19503.94,19505.2,19469.62067808,1665362880000,1095
49,30.618550080000034,19509.1898,19503.28,19506.7,19519.67,19497.9,1665362940000,952
50,43.63445951000004,19514.3227,19505.0,19516.45,19523.41,19499.0,1665363000000,1083
51,25.647824890000006,19511.7857,19516.46,19513.58,19517.71,19504.6,1665363060000,897
52,32.25419301000002,19512.297,19512.36,19511.3,19516.45,19507.11,1665363120000,802
53,32.82707821000003,19493.2594,19511.31,19484.92,19512.94,19474.0,1665363180000,1088
54,28.72947406000002,19487.9294,19483.7,19484.37,19496.96,19477.0,1665363240000,670
55,22.594863230000044,19482.0335,19484.19,19489.98,19490.64,19474.34,1665363300000,602
56,10.131096580000007,19494.7235,19491.09,19491.62,19502.06,19483.226898,1665363360000,682
57,7.653279080000001,19488.3809,19490.23,19488.65,19496.7,19485.42,1665363420000,435
58,7.530556880000012,19490.35,19489.39,19490.35,19496.7,19485.0,1665363480000,497
59,16.386659609999967,19490.9644,19489.32,19495.18,19497.05,19487.1,1665363540000,599
60,21.993100300000055,19505.3839,19495.8,19510.36,19514.26,19494.94,1665363600000,767
61,31.11349886000003,19511.5112,19511.52,19498.62,19524.81,19496.68,1665363660000,929
62,21.8686781400001,19501.083,19498.63,19500.21,19514.2,19493.65,1665363720000,777
63,6.973376300000009,19504.7095,19500.75,19507.91,19508.76,19498.04036126,1665363780000,588
64,5.2039592399999925,19509.0047,19507.91,19511.9,19514.67,19503.64950822,1665363840000,425
65,13.019791359999978,19511.8655,19511.31,19505.3,19520.29,19503.09,1665363900000,532
66,12.85407562,19513.7844,19505.17,19510.69889725,19520.62,19502.92,1665363960000,651
67,3.9412129299999967,19512.859,19514.18,19510.95,19517.58,19508.65,1665364020000,362
68,34.77046033000003,19512.4155,19510.77,19512.11,19519.11,19506.34,1665364080000,782
69,10.717774859999983,19506.9892,19512.1,19500.71,19513.66,19500.16077349,1665364140000,456
70,14.060436010000009,19503.8749,19502.17,19504.16,19511.6,19495.42,1665364200000,554
71,6.681955649999996,19504.484,19504.58,19503.69758062,19508.02,19501.19,1665364260000,403
72,7.824544999999996,19505.0013,19503.65,19502.86,19508.58,19501.93,1665364320000,559
73,9.271783019999996,19502.5045,19502.76,19501.58,19507.53,19498.98,1665364380000,574
74,7.100960200000003,19500.9428,19501.99,19499.59,19506.8,19495.98,1665364440000,514
75,11.361257119999992,19494.9614,19500.9,19491.81,19502.27,19487.51,1665364500000,511
76,29.229376820000045,19490.4798,19491.4,19498.85,19503.0,19479.68,1665364560000,655
77,9.849821679999994,19500.401,19498.57,19497.04,19503.34,19496.28,1665364620000,443
78,9.245784310000001,19496.1908,19497.86,19502.12,19503.3,19491.4,1665364680000,519
79,2.7216753,19501.6626,19502.45,19500.93,19503.96,19494.82582164,1665364740000,366
80,7.340443170000004,19503.2827,19501.47,19504.17,19507.2,19495.0,1665364800000,442
81,9.556500199999993,19499.1517,19504.4,19496.62,19506.02,19492.17,1665364860000,428
82,1.4351720399999983,19496.4185,19496.98,19495.44,19502.2,19492.69,1665364920000,356
83,4.555491779999994,19494.4704,19494.75,19497.75,19498.61,19492.26,1665364980000,446
84,14.314103449999987,19493.3701,19497.21,19488.74,19499.6,19486.27,1665365040000,546
85,40.846188899999866,19479.3805,19486.18,19482.34,19496.2,19470.36,1665365100000,798
86,9.584293619999992,19483.1093,19481.86,19482.17,19485.33,19477.8,1665365160000,511
87,52.60718586000001,19496.7385,19482.87,19504.23,19507.1,19481.44,1665365220000,823
88,17.15477322000001,19501.3131,19503.81,19501.91,19508.65,19496.1,1665365280000,505
89,9.425303429999996,19503.9048,19501.99,19505.44,19508.10808178,19496.1,1665365340000,410
90,14.875537499999997,19502.9956,19503.78,19498.78,19511.57,19496.2,1665365400000,574
91,7.606532950000002,19499.6557,19497.87,19498.34,19506.96,19496.5,1665365460000,507
92,9.723980669999992,19494.6367,19498.19,19490.1,19504.54596366,19488.87,1665365520000,563
93,6.153404359999998,19490.1076,19490.49,19492.53,19495.0,19486.33,1665365580000,475
94,25.88084493000005,19505.4344,19492.52,19501.66,19514.63,19489.93654643,1665365640000,767
95,6.667811589999999,19501.7762,19503.69,19503.37,19506.59463777,19496.5,1665365700000,470
96,5.633226159999993,19502.4452,19503.37,19500.33,19505.68,19496.6,1665365760000,448
97,6.553305670000005,19497.2881,19499.4,19492.45,19502.33,19491.45,1665365820000,452
98,7.47047923,19497.6984,19492.08,19500.69,19501.28,19492.08,1665365880000,549
99,6.670085639999992,19499.0164,19500.05,19501.24,19502.8,19494.656332,1665365940000,529
100,13.679618139999988,19503.0046,19500.0,19506.28,19507.84,19494.80635217,1665366000000,688
101,9.283040109999984,19505.6959,19506.82,19504.27,19511.32,19496.6,1665366060000,498
102,36.641239730000024,19511.1169,19505.33,19509.92,19519.4,19496.6,1665366120000,835
103,10.45905527999999,19509.0486,19510.71,19506.89717922,19513.19,19505.56,1665366180000,430
104,6.72805652,19509.3571,19507.8,19511.45,19512.84,19505.83,1665366240000,416
105,5.960286220000008,19511.0301,19510.6,19512.93,19514.11,19508.3,1665366300000,403
106,4.648822469999996,19513.1793,19513.63,19511.31,19516.37,19509.3,1665366360000,423
107,3.4898306399999974,19508.6001,19511.55,19507.32,19511.76,19505.82,1665366420000,490
108,7.065504250000002,19509.8729,19508.9,19508.62,19512.03,19507.28,1665366480000,538
109,2.525985849999998,19509.0338,19510.28,19508.58,19511.37,19506.0,1665366540000,384
110,4.247245389999994,19509.906,19509.27,19509.7,19511.75,19506.92,1665366600000,525
111,57.267386949999924,19518.8139,19509.55,19516.55,19528.04,19508.32,1665366660000,883
112,17.554140530000012,19516.022,19515.82,19517.12,19520.96,19512.85,1665366720000,528
113,3.4007534599999985,19520.1642,19518.23,19521.41,19523.87,19515.33657183,1665366780000,433
114,5.875202939999995,19520.7863,19521.32,19521.96,19523.68,19516.37,1665366840000,395
115,4.008595060000001,19521.4224,19521.76,19521.09,19524.15,19518.18620451,1665366900000,323
116,7.407276,19519.4713,19522.56,19519.66,19524.88,19517.29,1665366960000,331
117,13.910833709999997,19511.4805,19519.72,19507.7,19521.42,19506.02,1665367020000,398
118,6.808685349999996,19506.2338,19508.01,19502.63,19512.0,19500.66,1665367080000,305
119,8.751225399999994,19500.034,19501.26,19504.14,19509.78487162,19495.04,1665367140000,454
120,9.403222120000008,19499.4183,19503.93,19500.48,19509.3,19496.8,1665367200000,390
121,6.039578719999995,19497.8753,19501.46,19494.15,19509.3,19492.81,1665367260000,329
122,2.8811832999999987,19494.5913,19495.31,19495.79,19509.3,19492.33,1665367320000,239
123,5.886486630000006,19494.9815,19495.8,19493.91,19509.3,19491.19,1665367380000,369
124,7.775032089999997,19498.562,19494.4,19495.84,19509.3,19491.18,1665367440000,364
125,16.352297609999994,19500.2465,19495.3,19491.83,19509.2,19489.69,1665367500000,478
126,9.553080580000001,19494.6102,19492.33,19490.59,19500.0,19489.23,1665367560000,402
127,4.850904400000001,19487.9005,19490.59,19483.13,19500.1,19481.75,1665367620000,237
128,10.034306,19479.0285,19483.13,19484.08,19488.1,19473.0,1665367680000,494
129,2.3751826699999965,19483.0235,19483.14,19484.09,19485.74,19479.81,1665367740000,217
130,4.933427509999995,19483.2629,19484.08,19484.11,19485.6,19479.61,1665367800000,250
131,4.9095884299999994,19481.3799,19484.11,19480.69,19485.65906315,19478.75,1665367860000,270
132,13.768893779999996,19481.4827,19480.54,19476.81,19485.65906315,19473.87,1665367920000,288
133,17.75514675999999,19482.1074,19477.93,19482.994789,19487.0,19476.97,1665367980000,426
134,4.839689590000002,19482.0823,19482.9,19480.3,19486.9,19478.59,1665368040000,296
135,7.46386163,19479.2592,19479.62,19479.61,19486.64978453,19476.03,1665368100000,313
136,15.222189790000012,19479.1702,19479.55,19483.0,19489.23,19471.0,1665368160000,504
137,6.588937209999998,19483.5123,19485.7,19485.44,19487.25,19476.98,1665368220000,262
138,7.304539619999995,19481.4172,19483.84,19483.09,19486.64978453,19476.99,1665368280000,291
139,7.823280169999995,19476.0791,19483.09,19472.07,19486.64978453,19467.78,1665368340000,360
140,9.774096849999994,19469.267,19470.41,19472.45,19478.0,19462.42,1665368400000,364
141,4.150109899999996,19478.029,19472.52,19475.56,19483.49641733,19470.99,1665368460000,274
142,6.373759160000003,19473.3043,19475.56,19476.42,19479.26562323,19469.73,1665368520000,357
143,9.652929029999992,19479.7368,19476.36,19482.35,19484.43,19474.76,1665368580000,319
144,6.110240299999999,19477.3793,19482.46,19475.97,19484.0,19472.95,1665368640000,257
145,10.687601730000003,19468.2072,19476.07,19465.2,19476.37,19461.88,1665368700000,393
146,14.878492950000004,19461.4638,19467.25,19462.12,19470.1,19452.36,1665368760000,519
147,6.009625959999998,19468.7304,19462.12,19474.09,19474.13,19461.15,1665368820000,307
148,3.508352429999998,19472.6971,19473.82,19476.37,19476.5,19468.12,1665368880000,282
149,3.007496490000001,19477.2796,19476.33,19480.94,19481.04,19474.53,1665368940000,230
150,3.822170449999998,19477.1902,19479.08,19477.88,19480.0,19473.62,1665369000000,237
151,6.060134439999996,19475.0311,19476.91,19476.67,19478.19,19471.24,1665369060000,282
152,5.264232449999996,19481.6962,19478.37,19482.32,19484.85,19477.41359124,1665369120000,293
153,14.62138070999999,19490.2338,19482.09,19493.24,19496.67,19481.38,1665369180000,421
